id;nom;date;drone;wifi;ratio;maxwifi;Column1;meanwifi;eau_p;plage_p;urbain_p;nature_p;camp;activities;norm
5;penon - Seignosse;08/06/17 17:35;3037;912;3,33;1116;2,721326165;391;30;25;30;15;1;0;0.000269082746485
1;La Centrale - Soulac sur Mer;09/12/17 18:11;31;58;0,53;1251;;406;15;35;50;0;1;92;0.00149557773136
2;La Centrale - Soulac sur Mer;07/05/17 14:26;176;218;0,81;1251;;406;15;35;50;0;1;92;0.000990116997311
31;Le Grand Crohot - Lège Cap Ferret;08/03/17 14:32;2036;536;3,8;603;3,376451078;201;15;35;0;50;1;2;0.000436585898275
28;Le Gressier - Le Porge;08/03/17 15:18;1607;470;3,42;818;1,964547677;201;20;30;0;50;0;6;0.000357543327405
11;oceane - Ondres;08/06/17 16:46;1605;982;1,63;994;1,614688129;348;35;15;10;40;1;5;0.000615531193391
7;Pavillon - Sanguinet;08/03/17 11:37;166;27;6,15;102;;25;30;5;35;30;1;3;0.00159461374911
8;Pavillon - Sanguinet;08/03/17 10:42;95;11;8,64;102;;25;30;5;35;30;1;3;0.00113519091847
9;Le pin sec - Naujac sur mer;09/12/17 16:02;32;11;2,91;211;;54;15;35;10;40;3;1;0.00162914691943
10;Le pin sec - Naujac sur mer;07/05/17 18:13;202;22;9,18;211;;54;15;35;10;40;3;1;0.000516165360612
39;Madrague - Anglet;08/06/17 16:01;1216;552;2,2;724;1,679558011;209;35;15;25;25;0;2;0.000626999127653
12;La Centrale - Vendays Montalivet;09/12/17 16:36;96;31;3,1;599;;188;25;35;25;15;3;46;0.000539092932666
13;La Centrale - Vendays Montalivet;07/05/17 17:06;333;150;2,22;599;;188;25;35;25;15;3;46;0.000752004090902
14;La Centrale - Vendays Montalivet;08/03/17 19:14;640;166;3,86;599;;188;25;35;25;15;3;46;0.000433013355593
15;La Super Sud - Lacanau;09/12/17 14:42;54;11;4,91;643;;167;20;30;0;50;0;0;0.000316802027533
4;penon - Seignosse;07-19-2017 16:23;1151;323;3,56;1116;1,031362007;391;30;25;30;15;1;0;0.000251456579755
17;La Centrale - Hourtin;06-26-2017 14:37;43;35;1,23;267;;100;20;30;20;30;1;11;0.00304851493772
18;La Centrale - Hourtin;09/12/17 15:37;138;33;4,18;267;;100;20;30;20;30;1;11;0.000895619605927
19;La Centrale - Hourtin;08/03/17 18:24;1385;144;9,62;267;;100;20;30;20;30;1;11;0.000389404940575
20;Le Gurp - Grayan et l'Hopital;09/12/17 17:25;34;18;1,89;611;;170;25;25;5;45;1;6;0.00086646770001
21;Le Gurp - Grayan et l'Hopital;07/05/17 15:51;324;250;1,3;611;;170;25;25;5;45;1;6;0.00126285587278
22;Le Gurp - Grayan et l'Hopital;08/03/17 19:30;549;267;2,06;611;;170;25;25;5;45;1;6;0.00079597184585
23;La hume - Gujan Mestras;07-27-2017 12:19;65;36;1,81;228;;84;35;10;30;25;5;4;0.00242914979757
24;La hume - Gujan Mestras;07/07/17 19:00;103;60;1,72;228;;84;35;10;30;25;5;4;0.00255493101686
25;La hume - Gujan Mestras;08/03/17 13:13;73;57;1,28;228;;84;35;10;30;25;5;4;0.00342465753425
26;Le Gressier - Le Porge;06-26-2017 16:48;69;38;1,82;818;;201;20;30;0;50;0;6;0.000673257503278
27;Le Gressier - Le Porge;09/12/17 11:13;21;12;1,75;818;;201;20;30;0;50;0;6;0.000698567935732
16;La Super Sud - Lacanau;08/03/17 16:16;1019;361;2,82;643;1,584758942;167;20;30;0;50;0;0;0.000550962505552
29;Le Grand Crohot - Lège Cap Ferret;06-26-2017 18:30;242;41;5,9;603;;201;15;35;0;50;1;2;0.000280964324384
30;Le Grand Crohot - Lège Cap Ferret;09/12/17 10:15;6;8;0,75;603;;201;15;35;0;50;1;2;0.00221116639027
38;Uhabia sud - Bidart;08/06/17 13:54;780;397;1,96;728;1,071428571;278;25;25;30;20;3;15;0.000699140602987
32;Erromardie - Saint Jean de Luz;08/06/17 13:30;448;94;4,77;392;;191;30;10;30;30;4;6;0.000535258746356
33;Bombannes - Carcans;06-26-2017 12:39;4;29;0,14;319;;107;30;5;5;60;1;2;0.0227272727273
34;Bombannes - Carcans;09/12/17 13:37;3;7;0,43;319;;107;30;5;5;60;1;2;0.0073145245559
35;Bombannes - Carcans;08/03/17 16:55;610;240;2,54;319;;107;30;5;5;60;1;2;0.00123336245439
36;Centrale - Biscarrosse;08/03/17 12:16;1539;160;9,62;348;;167;25;25;40;10;1;91;0.000298746013608
37;Centrale - Biscarrosse;07-27-2017 10:43;228;85;2,68;348;;167;25;25;40;10;1;91;0.00107128453317
3;La Centrale - Soulac sur Mer;08/03/17 19:54;462;367;1,26;1251;0,369304556;406;15;35;50;0;1;92;0.000634989843623
0;La Centrale - Soulac sur Mer;08-22-2017 17:04;354;389;0,91;1251;0,282973621;406;15;35;50;0;1;92;0.000878393330533
40;Uhabia sud - Bidart;03/07/17 14:12;60;92;1,96;728;1,071428571;278;25;25;30;20;3;15;0.000699140602987
41;oceane - Ondres;03/07/17 18:39;80;298;1,63;994;1,614688129;348;35;15;10;40;1;5;0.000615531193391
42;Madrague - Anglet;03/07/17 16:52;90;95;2,2;724;1,679558011;209;35;15;25;25;0;2;0.000626999127653
43;Erromardie - Saint Jean de Luz;03/07/17 15:38;62;139;4,77;392;;191;30;10;30;30;4;6;0.000535258746356
44;Hendaye - Casino;03/07/17 12:23;110;75;4,77;1092;;191;30;10;30;30;4;6;0.000535258746356
